id,tool_id,approved_date,table,is_approved,is_requester_received,is_returned,returned_quantity
1413,467689bb-6e2d-4bfc-bf3f-33f49239306f,2025-06-18 09:40:32,inventories,1,0,0,
1412,62c946e9-d39b-4d45-b07c-7261226cf174,2025-06-17 11:53:35,inventories,1,1,0,
1411,0138dadd-ecfe-4fa1-97a5-bb18f498c7d7,2025-07-03 13:23:43,inventories,1,0,0,
1410,94e5346b-b0a9-414c-b59f-4ff8b4db6801,2025-07-03 13:24:14,inventories,1,0,0,
1409,470b2f8d-be80-40e2-9834-a9304c7b412e,2025-07-03 13:24:25,inventories,1,1,0,
1408,25fd8501-99ec-4500-bf7e-c048e7e1ad39,2025-06-17 09:04:50,inventories,1,1,0,
1406,25fd8501-99ec-4500-bf7e-c048e7e1ad39,2025-07-15 12:23:33,inventories,1,0,0,
1405,e30c6471-b2b3-4dc1-8f9b-872cd89ff2f6,2025-06-17 12:51:10,inventories,1,0,0,
1404,ad233c87-8565-4494-9bed-0694f1d97106,2025-06-17 12:51:23,inventories,1,0,0,
1403,b6bf5cec-191f-45d4-b77e-f86a0002e03f,2025-06-16 14:18:28,inventories,1,0,0,
1399,5c5311ad-ff55-4dd6-bf0f-17de724b54e1,2025-06-13 13:26:27,inventories,1,1,0,
1398,14115dea-8bd6-4c1a-9f31-c9da0736a9b4,2025-06-12 13:54:40,inventories,1,0,0,
1395,470b2f8d-be80-40e2-9834-a9304c7b412e,2025-06-11 12:18:00,inventories,1,0,0,
1394,470b2f8d-be80-40e2-9834-a9304c7b412e,2025-06-11 11:37:26,inventories,1,1,0,
1389,1a84b651-6361-44f3-8c8a-c3f4d16c1b49,2025-06-06 06:23:28,inventories,1,0,0,
1386,467689bb-6e2d-4bfc-bf3f-33f49239306f,2025-06-17 06:54:32,inventories,1,0,0,
1384,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-06-05 05:04:13,inventories,1,1,0,
1383,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-06-05 05:04:28,inventories,1,1,0,
1382,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-06-04 13:49:18,inventories,1,0,0,
1381,467689bb-6e2d-4bfc-bf3f-33f49239306f,2025-06-04 09:02:52,inventories,1,0,0,
1380,5d876a79-acc6-4069-b3d9-04aed71aa83d,2025-06-02 08:04:44,inventories,1,0,0,
1379,d20086fd-f4ea-4702-9fde-43c89f0e9c37,2025-05-29 11:21:30,inventories,1,0,0,
1378,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-05-28 13:37:44,inventories,1,0,0,
1377,14115dea-8bd6-4c1a-9f31-c9da0736a9b4,2025-05-28 06:47:07,inventories,1,0,0,
1376,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-05-27 09:45:14,inventories,1,0,0,
1375,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-05-27 06:17:47,inventories,1,0,0,
1374,467689bb-6e2d-4bfc-bf3f-33f49239306f,2025-05-23 08:14:34,inventories,1,1,0,
1373,2ac6ec4c-b2a7-40a9-be3d-71a016e00ed9,2025-05-22 14:01:58,inventories,1,1,1,
1372,4586b311-5efe-4c45-92cf-092b00d2d415,2025-06-04 09:03:11,inventories,1,0,0,
1371,00c0a4ee-bfbd-4705-a5a6-01bc0067dc0a,2025-05-20 14:07:31,inventories,1,0,0,
1370,8c31b40c-972b-4b6f-a6d9-3597a5139ab4,2025-05-20 11:01:39,inventories,1,0,0,
1369,4304188c-3479-4ffd-9864-f5b6ee15fde8,2025-05-20 07:46:36,inventories,1,1,1,
1368,89cb996f-2b65-4076-a252-7202fcde5adc,2025-05-20 07:46:43,inventories,1,1,1,
1367,94e5346b-b0a9-414c-b59f-4ff8b4db6801,2025-05-20 07:24:15,inventories,1,1,0,
1366,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-05-20 07:24:38,inventories,1,1,0,
1365,4586b311-5efe-4c45-92cf-092b00d2d415,2025-05-20 07:24:51,inventories,1,1,0,
1364,d18c5348-4614-4c99-9948-dc240d9b4ce1,2025-05-16 06:38:09,inventories,1,1,0,
1363,56ef7d4f-e564-46f7-bc47-a7ad3925a855,2025-05-16 06:38:42,inventories,1,1,0,
1361,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-05-16 06:39:11,inventories,1,0,0,
1360,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-05-16 06:40:01,inventories,1,0,0,
1358,b6cb4fb1-9f25-4eac-93d4-3d66a26b5ba0,2025-07-16 12:20:57,inventories,1,0,0,
1357,417d6561-6ac0-4b13-97b2-f5acb9d9505a,2025-05-16 06:41:40,inventories,1,0,0,
1356,9e988309-6a2f-4c68-8831-7245bb96dc52,2025-05-16 06:42:05,inventories,1,0,0,
