item_id,project_id,time_period_start,requested_qty,received_qty,returned_qty,consumed_qty,end_available_amount,end_total_quantity,overdue_returns_count,avg_days_to_return
4976921a-c455-4c51-8d70-4be034e15d7a,6e9a0257-963f-4255-89d1-4136da81e028,2024-05-20,4.0,0.0,0.0,0.0,12,0,0,
4976921a-c455-4c51-8d70-4be034e15d7a,6e9a0257-963f-4255-89d1-4136da81e028,2024-06-24,0.0,2.0,0.0,0.0,10,0,1,425.0
4976921a-c455-4c51-8d70-4be034e15d7a,6e9a0257-963f-4255-89d1-4136da81e028,2024-08-26,0.0,0.0,0.0,0.0,10,0,0,
4976921a-c455-4c51-8d70-4be034e15d7a,6e9a0257-963f-4255-89d1-4136da81e028,2025-03-10,0.0,1.0,0.0,0.0,9,0,1,188.0
49f8e4ac-43ec-4d5b-a323-ff6bc8694469,unknown,2025-05-12,6.0,0.0,0.0,0.0,6,6,0,
4a6fb8a2-f638-42b5-834e-28388d070bda,unknown,2025-01-27,1.0,0.0,0.0,0.0,1,3,0,
4a7e4c37-4b5d-484d-9ecb-d0e7618286e5,unknown,2025-02-03,10.0,0.0,0.0,0.0,10,10,0,
4b529687-8396-4135-b9bd-08c79c02d01f,6e9a0257-963f-4255-89d1-4136da81e028,2024-08-12,0.0,2.0,0.0,0.0,4,0,2,394.0
4c007866-438a-410d-b0ab-4bb929266777,unknown,2025-02-10,0.0,1.0,0.0,0.0,0,1,1,179.0
4c6d5d45-89ef-442d-b315-b4518f5b4251,6e9a0257-963f-4255-89d1-4136da81e028,2024-06-24,0.0,1.0,0.0,0.0,0,0,1,425.0
4c6d5d45-89ef-442d-b315-b4518f5b4251,6e9a0257-963f-4255-89d1-4136da81e028,2024-07-29,0.0,1.0,0.0,0.0,0,0,1,412.0
4c6d5d45-89ef-442d-b315-b4518f5b4251,6e9a0257-963f-4255-89d1-4136da81e028,2024-11-11,3.0,0.0,0.0,0.0,0,0,0,
4c6d5d45-89ef-442d-b315-b4518f5b4251,6e9a0257-963f-4255-89d1-4136da81e028,2024-11-18,0.0,3.0,0.0,0.0,0,0,1,299.0
4cb6cc41-7895-47cc-a6e2-77e7d84631f6,6e9a0257-963f-4255-89d1-4136da81e028,2024-09-02,1.0,0.0,0.0,0.0,1,0,0,
4cfa13c9-c257-4c95-92db-ba856b64fda5,6e9a0257-963f-4255-89d1-4136da81e028,2024-07-08,0.0,1.0,0.0,0.0,0,0,1,409.0
4cfa13c9-c257-4c95-92db-ba856b64fda5,6e9a0257-963f-4255-89d1-4136da81e028,2024-07-29,0.0,44.0,0.0,0.0,0,0,1,410.0
4d4f183a-3bdd-41ea-9f10-7947128a750b,6e9a0257-963f-4255-89d1-4136da81e028,2024-09-23,0.0,2.0,0.0,0.0,43,0,1,284.0
4d4f183a-3bdd-41ea-9f10-7947128a750b,6e9a0257-963f-4255-89d1-4136da81e028,2024-11-04,0.0,3.0,0.0,0.0,40,0,1,300.0
4d4f183a-3bdd-41ea-9f10-7947128a750b,6e9a0257-963f-4255-89d1-4136da81e028,2024-11-25,0.0,1.0,0.0,0.0,39,0,1,284.0
4d4f183a-3bdd-41ea-9f10-7947128a750b,6e9a0257-963f-4255-89d1-4136da81e028,2025-02-03,0.0,3.0,0.0,0.0,36,0,1,214.0
4d4f183a-3bdd-41ea-9f10-7947128a750b,6e9a0257-963f-4255-89d1-4136da81e028,2025-02-10,50.0,0.0,0.0,0.0,36,0,0,
4d4f183a-3bdd-41ea-9f10-7947128a750b,6e9a0257-963f-4255-89d1-4136da81e028,2025-02-24,0.0,2.0,0.0,0.0,34,0,1,179.0
4d4f183a-3bdd-41ea-9f10-7947128a750b,6e9a0257-963f-4255-89d1-4136da81e028,2025-03-10,0.0,2.0,0.0,0.0,32,0,1,179.0
4d947452-f9af-4a43-af14-1cc3199c1c02,unknown,2025-01-13,0.0,10.0,0.0,0.0,18,28,1,243.0
4d947452-f9af-4a43-af14-1cc3199c1c02,unknown,2025-03-31,0.0,18.0,0.0,0.0,0,28,1,60.0
4d947452-f9af-4a43-af14-1cc3199c1c02,unknown,2025-05-12,12.0,0.0,0.0,0.0,0,28,0,
4da87366-d266-4a9d-ae7b-a5a4dbf0c6d8,unknown,2024-05-06,0.0,1.0,0.0,0.0,8,0,0,
4da87366-d266-4a9d-ae7b-a5a4dbf0c6d8,unknown,2024-05-20,0.0,1.0,0.0,0.0,7,0,0,
4da87366-d266-4a9d-ae7b-a5a4dbf0c6d8,unknown,2024-05-27,0.0,0.0,0.0,0.0,7,0,0,
4da87366-d266-4a9d-ae7b-a5a4dbf0c6d8,unknown,2024-07-15,2.0,1.0,0.0,0.0,6,0,0,
4da87366-d266-4a9d-ae7b-a5a4dbf0c6d8,unknown,2024-09-09,0.0,1.0,0.0,0.0,5,0,0,
4da87366-d266-4a9d-ae7b-a5a4dbf0c6d8,unknown,2024-09-16,0.0,1.0,0.0,0.0,4,0,0,
4da87366-d266-4a9d-ae7b-a5a4dbf0c6d8,unknown,2024-11-18,0.0,1.0,0.0,0.0,3,0,1,265.0
4da87366-d266-4a9d-ae7b-a5a4dbf0c6d8,unknown,2025-04-07,0.0,1.0,0.0,0.0,2,0,0,
4db07952-ffa7-4b9a-b537-baddbac60335,6e9a0257-963f-4255-89d1-4136da81e028,2025-02-03,2.0,0.0,0.0,0.0,2,0,0,
4e49904f-417b-4b69-85a3-32979badbc77,6e9a0257-963f-4255-89d1-4136da81e028,2025-03-03,0.0,20.0,0.0,0.0,10,0,1,188.0
4fa0d6c8-0ec3-498b-8209-f592c6483264,6e9a0257-963f-4255-89d1-4136da81e028,2024-04-29,0.0,10.0,0.0,0.0,0,0,1,409.0
4fa0d6c8-0ec3-498b-8209-f592c6483264,6e9a0257-963f-4255-89d1-4136da81e028,2024-05-13,0.0,10.0,0.0,0.0,0,0,1,489.0
4fa0d6c8-0ec3-498b-8209-f592c6483264,6e9a0257-963f-4255-89d1-4136da81e028,2024-06-24,0.0,10.0,0.0,0.0,0,0,1,409.0
4fa0d6c8-0ec3-498b-8209-f592c6483264,6e9a0257-963f-4255-89d1-4136da81e028,2024-07-01,0.0,10.0,0.0,0.0,0,0,1,426.0
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-02-24,1.0,7.0,0.0,0.0,113,0,2,165.0
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-03-10,1.0,1.0,0.0,0.0,112,0,1,179.0
