id,department_id,source,total_quantity,current_stock
049141c1-0ad9-4e31-a8f7-e5635b462414,ICT Park TTA,inventory,200.0,200.0
04958308-828b-4e5e-973e-1cd31f217aea,HQ Office Facility,inventory,5.0,5.0
0499b3ab-78ed-400e-a6ba-ba92ac28bd31,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
049cabd0-7bf8-4a5c-983c-d7c2f3b18f38,ICT Park TTA,inventory,10.0,10.0
04aa2722-402b-4acd-9193-5195ecde96bb,ICT Park TTA,asset,45.0,45.0
04b14970-d0ad-4d32-8805-721577958206,ICT Park TTA,inventory,80.0,80.0
04bda18f-4d1c-498c-8c66-3a9faed46aee,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
04eb84f3-f839-4a6c-ac92-259b262266f0,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
050b472b-8975-4d0e-a0a5-d6a3f03d8ab9,ICT Park TTA,inventory,10.0,10.0
050d1d72-f092-451e-be03-597337694cf6,ICT Park TTA,inventory,10.0,10.0
051ac24b-29f1-41d3-97b8-229b8b3fdc59,HQ fleet,inventory,4.0,4.0
0520d3c8-c2d8-4051-b178-9d64f1103930,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
0525b4cf-6f9d-40d7-abae-4463c31ea54a,ICT Park TTA,inventory,10.0,10.0
05272d12-f09a-4fd6-898a-81f0f61107f3,ICT Park TTA,inventory,40.0,40.0
05296a5f-6908-4a7e-9efa-4fbcd42f4af3,ICT Park TTA,asset,45.0,45.0
053ca6de-3b36-41c3-bd75-c78189d0513a,ICT Park TTA,inventory,20.0,20.0
05439235-6994-4fad-aaa9-565bd28303fe,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
05492400-9228-429d-8de7-c7f000760095,HQ Office Facility,inventory,51.0,51.0
054e73c5-076a-4bf5-885a-fcdff78e533f,MINT Commissioning of Smart Communication Rooms at,inventory,98.4,98.4
0559a860-883f-4f21-8a65-af06abb56ebd,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
056953b9-ab07-45f8-932c-4a297349138e,MINT Commissioning of Smart Communication Rooms at,inventory,48.0,48.0
